step,x_deg,y_deg,x_voltage,y_voltage,gate_number,pmt_count,over_light
0,-2.0,-2.0,-0.4444444444444444,-0.4444444444444444,0,2244,0
1,-1.9500000000000002,-2.0,-0.43333333333333335,-0.4444444444444444,15,1650,0
2,-1.9000000000000001,-2.0,-0.4222222222222222,-0.4444444444444444,30,1947,0
3,-1.85,-2.0,-0.4111111111111111,-0.4444444444444444,45,1813,0
4,-1.8,-2.0,-0.4,-0.4444444444444444,60,1924,0
5,-1.75,-2.0,-0.3888888888888889,-0.4444444444444444,75,1837,0
6,-1.7000000000000002,-2.0,-0.37777777777777777,-0.4444444444444444,90,1754,0
7,-1.6500000000000001,-2.0,-0.36666666666666664,-0.4444444444444444,105,2175,0
8,-1.6,-2.0,-0.35555555555555557,-0.4444444444444444,120,2451,0
9,-1.55,-2.0,-0.34444444444444444,-0.4444444444444444,135,2933,0
10,-1.5,-2.0,-0.3333333333333333,-0.4444444444444444,150,2882,0
11,-1.4500000000000002,-2.0,-0.32222222222222224,-0.4444444444444444,165,2875,0
12,-1.4000000000000001,-2.0,-0.31111111111111117,-0.4444444444444444,180,2438,0
13,-1.35,-2.0,-0.3,-0.4444444444444444,195,2490,0
14,-1.3,-2.0,-0.28888888888888886,-0.4444444444444444,210,2515,0
15,-1.25,-2.0,-0.2777777777777778,-0.4444444444444444,225,2318,0
16,-1.2000000000000002,-2.0,-0.2666666666666667,-0.4444444444444444,240,2539,0
17,-1.1500000000000001,-2.0,-0.2555555555555556,-0.4444444444444444,255,2993,0
18,-1.1,-2.0,-0.24444444444444444,-0.4444444444444444,270,2844,0
19,-1.05,-2.0,-0.23333333333333334,-0.4444444444444444,285,1511,0
20,-1.0,-2.0,-0.2222222222222222,-0.4444444444444444,300,1386,0
21,-0.9500000000000001,-2.0,-0.2111111111111111,-0.4444444444444444,315,1051,0
22,-0.9,-2.0,-0.2,-0.4444444444444444,330,878,0
23,-0.8500000000000001,-2.0,-0.18888888888888888,-0.4444444444444444,345,1518,0
24,-0.8,-2.0,-0.17777777777777778,-0.4444444444444444,360,2155,0
25,-0.75,-2.0,-0.16666666666666666,-0.4444444444444444,375,2180,0
26,-0.7000000000000001,-2.0,-0.15555555555555559,-0.4444444444444444,390,2134,0
27,-0.65,-2.0,-0.14444444444444443,-0.4444444444444444,405,2029,0
28,-0.6000000000000001,-2.0,-0.13333333333333336,-0.4444444444444444,420,1833,0
29,-0.55,-2.0,-0.12222222222222222,-0.4444444444444444,435,2055,0
30,-0.5,-2.0,-0.1111111111111111,-0.4444444444444444,450,2559,0
31,-0.45,-2.0,-0.1,-0.4444444444444444,465,2684,0
32,-0.4,-2.0,-0.08888888888888889,-0.4444444444444444,480,1865,0
33,-0.35000000000000003,-2.0,-0.07777777777777779,-0.4444444444444444,495,1667,0
34,-0.30000000000000004,-2.0,-0.06666666666666668,-0.4444444444444444,510,1645,0
35,-0.25,-2.0,-0.05555555555555555,-0.4444444444444444,525,2288,0
36,-0.2,-2.0,-0.044444444444444446,-0.4444444444444444,540,2590,0
37,-0.15000000000000002,-2.0,-0.03333333333333334,-0.4444444444444444,555,2600,0
38,-0.1,-2.0,-0.022222222222222223,-0.4444444444444444,570,2694,0
39,-0.05,-2.0,-0.011111111111111112,-0.4444444444444444,585,2483,0
40,0.0,-2.0,0.0,-0.4444444444444444,600,2193,0
41,0.05,-2.0,0.011111111111111112,-0.4444444444444444,615,2445,0
42,0.1,-2.0,0.022222222222222223,-0.4444444444444444,630,2999,0
43,0.15000000000000002,-2.0,0.03333333333333334,-0.4444444444444444,645,3307,0
44,0.2,-2.0,0.044444444444444446,-0.4444444444444444,660,2999,0
45,0.25,-2.0,0.05555555555555555,-0.4444444444444444,675,2123,0
46,0.30000000000000004,-2.0,0.06666666666666668,-0.4444444444444444,690,2517,0
47,0.35000000000000003,-2.0,0.07777777777777779,-0.4444444444444444,705,2389,0
48,0.4,-2.0,0.08888888888888889,-0.4444444444444444,720,1946,0
49,0.45,-2.0,0.1,-0.4444444444444444,735,1756,0
50,0.5,-2.0,0.1111111111111111,-0.4444444444444444,750,1612,0
51,0.55,-2.0,0.12222222222222222,-0.4444444444444444,765,2116,0
52,0.6000000000000001,-2.0,0.13333333333333336,-0.4444444444444444,780,2151,0
53,0.65,-2.0,0.14444444444444443,-0.4444444444444444,795,1650,0
54,0.7000000000000001,-2.0,0.15555555555555559,-0.4444444444444444,810,1303,0
55,0.75,-2.0,0.16666666666666666,-0.4444444444444444,825,1458,0
56,0.8,-2.0,0.17777777777777778,-0.4444444444444444,840,2140,0
57,0.8500000000000001,-2.0,0.18888888888888888,-0.4444444444444444,855,2538,0
58,0.9,-2.0,0.2,-0.4444444444444444,870,2009,0
59,0.9500000000000001,-2.0,0.2111111111111111,-0.4444444444444444,885,2190,0
60,1.0,-2.0,0.2222222222222222,-0.4444444444444444,900,1945,0
61,1.05,-2.0,0.23333333333333334,-0.4444444444444444,915,1425,0
62,1.1,-2.0,0.24444444444444444,-0.4444444444444444,930,1675,0
63,1.1500000000000001,-2.0,0.2555555555555556,-0.4444444444444444,945,3574,0
64,1.2000000000000002,-2.0,0.2666666666666667,-0.4444444444444444,960,2801,0
65,1.25,-2.0,0.2777777777777778,-0.4444444444444444,975,1781,0
66,1.3,-2.0,0.28888888888888886,-0.4444444444444444,990,1736,0
67,1.35,-2.0,0.3,-0.4444444444444444,1005,1956,0
68,1.4000000000000001,-2.0,0.31111111111111117,-0.4444444444444444,1020,2040,0
69,1.4500000000000002,-2.0,0.32222222222222224,-0.4444444444444444,1035,2389,0
70,1.5,-2.0,0.3333333333333333,-0.4444444444444444,1050,2347,0
71,1.55,-2.0,0.34444444444444444,-0.4444444444444444,1065,2467,0
72,1.6,-2.0,0.35555555555555557,-0.4444444444444444,1080,2156,0
73,1.6500000000000001,-2.0,0.36666666666666664,-0.4444444444444444,1095,2304,0
74,1.7000000000000002,-2.0,0.37777777777777777,-0.4444444444444444,1110,2205,0
75,1.75,-2.0,0.3888888888888889,-0.4444444444444444,1125,1836,0
76,1.8,-2.0,0.4,-0.4444444444444444,1140,2251,0
77,1.85,-2.0,0.4111111111111111,-0.4444444444444444,1155,2593,0
78,1.9000000000000001,-2.0,0.4222222222222222,-0.4444444444444444,1170,3152,0
79,1.9500000000000002,-2.0,0.43333333333333335,-0.4444444444444444,1185,2440,0
80,2.0,-2.0,0.4444444444444444,-0.4444444444444444,1200,2854,0
81,2.0,-1.9500000000000002,0.4444444444444444,-0.43333333333333335,1215,2921,0
82,1.9500000000000002,-1.9500000000000002,0.43333333333333335,-0.43333333333333335,1230,2747,0
83,1.9000000000000001,-1.9500000000000002,0.4222222222222222,-0.43333333333333335,1245,2275,0
84,1.85,-1.9500000000000002,0.4111111111111111,-0.43333333333333335,1260,4059,0
